ID	Lattitude	Longitude	Elevation	Bio_1_T_annual_mean	Bio_2_T_diurnal_range_mean	Bio_3_T_isothermality	Bio_4_T_seasonality	Bio_5_T_warmest_month_max	Bio_6_T_coldest_month_min	Bio_7_T_annual_range	Bio_8_T_wettest_quarter_mean	Bio_9_T_driest_quarter_mean	Bio_10_T_warmest_quarter_mean	Bio_11_T_coldest_quarter_mean	Bio_12_P_annual	Bio_13_P_wettest_month	Bio_14_P_driest_month	Bio_15_P_seasonality	Bio_16_P_wettest_quarter	Bio_17_P_driest_quarter	Bio_18_P_warmest_quarter	Bio_19_P_coldest_quarter	Cat.Lat_Long
Bal.P2	38.88477778	37.87966667	1234.8	107	118	31	8824	310	-63	373	96	215	215	-11	429	58	4	54	165	16	33	138	38.88477778_37.87966667
Bal.P7	38.88477778	37.87966667	1234.8	107	118	31	8824	310	-63	373	96	215	215	-11	429	58	4	54	165	16	33	138	38.88477778_37.87966667
Ban1_R1	42.58062	-0.57992	817.3	97	100	39	5394	237	-17	254	115	167	167	29	778	83	43	15	217	163	167	193	42.58062_-0.57992
Ban1_R2	42.58062	-0.57992	817.3	97	100	39	5394	237	-17	254	115	167	167	29	778	83	43	15	217	163	167	193	42.58062_-0.57992
Ban2_R1	42.58062	-0.57992	817.3	97	100	39	5394	237	-17	254	115	167	167	29	778	83	43	15	217	163	167	193	42.58062_-0.57992
Ban2_R2	42.58062	-0.57992	817.3	97	100	39	5394	237	-17	254	115	167	167	29	778	83	43	15	217	163	167	193	42.58062_-0.57992
Ban3_R1	42.58062	-0.57992	817.3	97	100	39	5394	237	-17	254	115	167	167	29	778	83	43	15	217	163	167	193	42.58062_-0.57992
Ban3_R2	42.58062	-0.57992	817.3	97	100	39	5394	237	-17	254	115	167	167	29	778	83	43	15	217	163	167	193	42.58062_-0.57992
Ban4_R1	42.58062	-0.57992	817.3	97	100	39	5394	237	-17	254	115	167	167	29	778	83	43	15	217	163	167	193	42.58062_-0.57992
Ban4_R2	42.58062	-0.57992	817.3	97	100	39	5394	237	-17	254	115	167	167	29	778	83	43	15	217	163	167	193	42.58062_-0.57992
BAR1020	42.04063	0.14636	379	129	107	38	5979	282	4	278	153	52	206	52	501	61	27	23	156	96	116	96	42.04063_0.14636
Bar2	42.04063	0.14636	379	129	107	38	5979	282	4	278	153	52	206	52	501	61	27	23	156	96	116	96	42.04063_0.14636
